Система,Узел/деталь,Код Детали
Безопасности,Сигнальная лампа системы подушек безопасности,135
,Система подушек безопасности,100
Впускная,Датчик кислорода системы впрыска,527
,Дроссельная заслонка в сборе,550
,Система воздушной заслонки карбюратора,507
,Воздушный фильтр,501
,Свеча накаливания,539
Выпуска отработавших газов,Турбонагнетатель / Трубки турбонагнетателя,379
,Воздушный нагнетатель ,389
,Выхлопная труба / Глушитель,365
Двигатель,Ремень ГРМ,377
,Натяжитель ремня ГРМ,378
,Цепь ГРМ,360
,Масляной насос,374
,Масляный сальник / Уплотнители,375
,Дизельный сажевый фильтр,398
,Масляный фильтр,370
,Приводной ремень водяного насоса,324
,Картер,376
,Предупредительный сигнал - перегрев двигателя,769
,Опора двигателя,358
,Распредвал,350
,Шкив распредвала,351
,Прокладка головки цилиндра,354
,Двигатель,355
,Крышка маслозаливной горловины,369
,Маслопровод,371
,Пробка поддона,392
Кузов,Повреждение от огня,145
,Повреждение от воды / Наводнения,147
,Ремень безопасности переднего ряда сидений,111
,Ремень безопасности заднего ряда сидений,112
,Рама мотоцикла,107
,Обтекатель/Багажник мотоцикла,108
,Опорная стойка мотоцикла,109
,Корпус автомобиля,118
,Ветровое стекло,119
,Дорожно-транспортное происшествие ,144
,Вилка мотоцикла,230
,Поворотная цапфа,242
,Двери/Дверные петли,132
,Отделка салона,137
,Система верхнего люка,116
,Отделение/Крепление для запасного колеса,131
,Дверца гнезда зарядки,762
,Открытие капота/багажника,103
,Откидной верх кузова,127
,Механизм складного верха автомобиля,138
,Стеклоочиститель лобового стекла,148
,Внутреннее зеркало задней вида,128
,Поддон,129
,Домкрат / Баллонный ключ,130
,Угон / Вандализм  ,146
,Внешнее зеркало заднего вида,134
,Сиденье в сборе,110
Осветительные приборы,HV Предупреждение Свет - Системы (Мастер Предупреждение),771
,Реле освещения,419
,Аварийные огни (только),439
,Выключатель освещения,420
,Электрическая лампочка,450
,Лампочка бардачка,415
,Освещение багажного отделения,418
,Освещение салона,417
,Реле стоп-сигнала,212
,Датчик нажатия тормозной педали/выключатель стоп-сигнала,213
,Стоп-сигнал,421
,Габаритные огни,422
,Световые приборы прицепа,424
,Фары - Индикатор,416
,Фары,423
Охлаждение / подогрева воздуха салона,Угольный фильтр,556
,Компрессор системы кондиционирования,139
,Торговое Оборудование/Аксессуары - Другие,142
,Система кондиционирования автомобилей с гибридным приводом,752
,Вспомогательный отопитель (Салон),133
,Приводной ремень системы кондиционирования ,101
,Система кондиционирования,102
,Управление обогревателем,104
,Радиатор отопителя,105
,Тепловой экран,125
,Система обогрева ветрового стекла,408
Охлаждения двигателя,Заливная крышка радиатора,301
,Расширительный бачок охлаждающей жидкости,302
,Хомут шланга,311
,Шланг Отопителя,312
,Другие шланги,313
,Шланг Радиатора,314
,"Крышка радиатора,",316
,Клапан крышки расширительного бачка,327
,Вентилятор системы охлаждения - Муфта вязкости,305
,Вентилятор системы охлаждения,309
,Радиатор,315
,Верхний шланг радиатора,318
,Термостат,321
,Корпус термостата,322
,Водяной насос,323
,Неизвестная неисправность системы охлаждения,349
,Масляный радиатор,368
,Датчик уровня охлаждающей жидкости,328
,Переключатель вентилятора системы охлаждения,308
Подвеска,Шины (Две),272
,Шины (Три),273
,Шины (Четыре),274
,Шины (Пять и более),275
,Шина (Шины) Случай урегулирован при помощи мобильного шиномонтажа,276
,стабилизатор поперечной устойчивости / Уплотнители,205
,Колесо,248
,Подшипник ступицы переднего колеса,249
,Подшипник ступицы заднего колеса,250
,Амортизатор,236
,Пневматическая подвеска,201
,Компрессор системы пневматической подвески,202
,Система гидравлической подвески,229
,Пружина системы подвески,243
,Стойка подвески,244
,Поперечный рычаг подвески,245
,Система контроля давления в шинах,262
,Система контроля устойчивости / Противобуксовочная система,564
,Гайка крепления колеса / Болт крепления колеса / Шпилька крепления колеса,251
,Ниппель,247
,Шина,246
,Неизвестная неисправность (подвеска системы подвески или системы управления),299
,Пружина системы  подвески (задняя),271
Привод вспомогательных агрегатов,Приводной ремень системы пневматической подвески,203
,Натяжитель приводного ремня системы пневматической подвески,253
Рулевого управления,Колонка рулевого управления,238
,Рулевое колесо,241
,Рулевая колонка мотоцикла,231
,Рулевая рейка / Коробка рулевого механизма,240
,Насос гидроусилителя / Мотор гидроусилителя,232
,Натяжитель приводного ремня системы гидроусилителя руля,254
,Электрический/Электронный усилитель руля,260
,Трубка насоса гидроусилителя,234
Система блокировки и сигнализация,Ключи - заперты в багажном отделении,678
,Ключи заперты в моторном отсеке,679
,Ключи заперты в салоне автомобиля,680
,Блок управления сигнализацией,650
,Замок двери,661
,Замок багажного отделения,662
,Замок моторного отсека,670
,Врезные замки,664
,Секретный замки (установлены после покупки),676
,Иммобилайзер - электрическая поломка,659
,Иммобилайзер - механическая поломка,665
,Электронная карта,673
,Транспондер Системы Приемника,677
,ПДУ системы сигнализации,651
,ПДУ центрального замка,655
,Батарейка ПДУ центрального замка,663
,Система сигнализации,652
,Сигнализация/Иммобилайзер (установлены после покупки),675
,Блок управления центральным замком,653
,Центральный замок,658
,Неизвестная неисправность системы блокировки и сигнализации,699
,Ключ - механическая поломка,660
,Ключ - Транспондера,667
,Ключ от секретной гайки колеса,671
Система зажигания,Распределитель системы зажигания,603
,Крышка распределителя системы зажигания,604
,Катушка зажигания,600
,Свеча зажигания,617
,Неизвестная неисправность системы зажигания,649
,Катушка первого цилиндра,621
,Катушка второго цилиндра,622
,Катушка третьего цилиндра,623
,Катушка четвертого цилиндра,624
,Катушка пятого цилиндра,625
,Катушка шестого цилиндра,626
,Замок зажигания,613
,Замок рулевой колонки / Замок зажигания,239
Топливная,Топливный насос - Бензин,528
,Инжекторы - Бензин,530
,Топливная система: Залито Д/Т вместо бензина (Двигатель заводился),567
,Топливная система: Залит бензин вместо Д/Т (Двигатель заводился),568
,Карбюратор,506
,Топливо - дизель,554
,Топливный фильтр,520
,Топливный насос - Механическая поломка,533
,Дизельные инжекторы,543
,Топливный насос - дизель,545
,Неизвестная неисправность топливной системы,599
